"('Date','')","('AdjClose','AAPL')","('Close','AAPL')","('High','AAPL')","('Low','AAPL')","('Open','AAPL')","('Volume','AAPL')"
2020-01-02,72.79603576660156,75.0875015258789,75.1500015258789,73.79750061035156,74.05999755859375,135480400
2020-01-03,72.08828735351562,74.35749816894531,75.1449966430664,74.125,74.2874984741211,146322800
2020-01-06,72.66270446777344,74.94999694824219,74.98999786376953,73.1875,73.44750213623047,118387200
2020-01-07,72.32097625732422,74.59750366210938,75.2249984741211,74.37000274658203,74.95999908447266,108872000
2020-01-08,73.48435974121094,75.79750061035156,76.11000061035156,74.29000091552734,74.29000091552734,132079200
2020-01-09,75.04522705078125,77.40750122070312,77.60749816894531,76.55000305175781,76.80999755859375,170108400
2020-01-10,75.21488189697266,77.5824966430664,78.1675033569336,77.0625,77.6500015258789,140644800
2020-01-13,76.82179260253906,79.23999786376953,79.26750183105469,77.7874984741211,77.91000366210938,121532000
2020-01-14,75.78446960449219,78.16999816894531,79.39250183105469,78.0425033569336,79.17500305175781,161954400
2020-01-15,75.45968627929688,77.83499908447266,78.875,77.38749694824219,77.9625015258789,121923600
2020-01-16,76.40491485595703,78.80999755859375,78.92500305175781,78.02249908447266,78.39749908447266,108829200
2020-01-17,77.25078582763672,79.68250274658203,79.68499755859375,78.75,79.06749725341797,137816400
2020-01-21,76.72726440429688,79.14250183105469,79.75499725341797,79.0,79.29750061035156,110843200
2020-01-22,77.00115203857422,79.42500305175781,79.99749755859375,79.32749938964844,79.6449966430664,101832400
2020-01-23,77.37199401855469,79.80750274658203,79.88999938964844,78.9124984741211,79.4800033569336,104472000
2020-01-24,77.14899444580078,79.57749938964844,80.8324966430664,79.37999725341797,80.0625,146537600
2020-01-27,74.88040924072266,77.23750305175781,77.94249725341797,76.22000122070312,77.51499938964844,161940000
2020-01-28,76.99871826171875,79.42250061035156,79.5999984741211,78.04750061035156,78.1500015258789,162234000
2020-01-29,78.6104965209961,81.08499908447266,81.9625015258789,80.34500122070312,81.11250305175781,216229200
2020-01-30,78.49657440185547,80.96749877929688,81.02249908447266,79.6875,80.13500213623047,126743200
2020-01-31,75.0161361694336,77.37750244140625,80.66999816894531,77.07250213623047,80.23249816894531,199588400
2020-02-03,74.81011962890625,77.16500091552734,78.37249755859375,75.55500030517578,76.07499694824219,173788400
2020-02-04,77.2798843383789,79.7125015258789,79.91000366210938,78.40750122070312,78.82749938964844,136616400
2020-02-05,77.91004180908203,80.36250305175781,81.19000244140625,79.73750305175781,80.87999725341797,118826800
2020-02-06,78.82136535644531,81.30249786376953,81.30500030517578,80.06500244140625,80.64250183105469,105425600
2020-02-07,77.74994659423828,80.00749969482422,80.8499984741211,79.5,80.59249877929688,117684000
2020-02-10,78.11924743652344,80.38749694824219,80.38749694824219,78.4625015258789,78.54499816894531,109348800
2020-02-11,77.64791870117188,79.90249633789062,80.9749984741211,79.67749786376953,80.9000015258789,94323200
2020-02-12,79.49188995361328,81.80000305175781,81.80500030517578,80.36750030517578,80.36750030517578,113730400
2020-02-13,78.92581176757812,81.21749877929688,81.55500030517578,80.8375015258789,81.04750061035156,94747600
2020-02-14,78.94526672363281,81.23750305175781,81.49500274658203,80.7125015258789,81.18499755859375,80113600
2020-02-18,77.49972534179688,79.75,79.9375,78.65249633789062,78.83999633789062,152531200
2020-02-19,78.62213134765625,80.90499877929688,81.14250183105469,80.0,80.0,93984000
2020-02-20,77.81554412841797,80.07499694824219,81.1624984741211,79.55249786376953,80.65750122070312,100566000
2020-02-21,76.0541763305664,78.26249694824219,80.11250305175781,77.625,79.65499877929688,129554000
2020-02-24,72.44160461425781,74.54499816894531,76.04499816894531,72.30750274658203,74.31500244140625,222195200
2020-02-25,69.98783874511719,72.0199966430664,75.63249969482422,71.53250122070312,75.23750305175781,230673600
2020-02-26,71.09811401367188,73.1624984741211,74.47000122070312,71.625,71.63249969482422,198054800
2020-02-27,66.45054626464844,68.37999725341797,71.5,68.23999786376953,70.2750015258789,320605600
2020-02-28,66.41165924072266,68.33999633789062,69.60250091552734,64.09249877929688,64.31500244140625,426510000
2020-03-02,72.59465789794922,74.70249938964844,75.36000061035156,69.43000030517578,70.56999969482422,341397200
2020-03-03,70.28909301757812,72.33000183105469,76.0,71.44999694824219,75.9175033569336,319475600
2020-03-04,73.5494155883789,75.68499755859375,75.8499984741211,73.28250122070312,74.11000061035156,219178400
2020-03-05,71.16368103027344,73.2300033569336,74.88749694824219,72.85250091552734,73.87999725341797,187572800
2020-03-06,70.21864318847656,72.25749969482422,72.70500183105469,70.30750274658203,70.5,226176800
2020-03-09,64.66490936279297,66.5425033569336,69.52249908447266,65.75,65.9375,286744800
2020-03-10,69.3221435546875,71.33499908447266,71.61000061035156,67.34249877929688,69.28500366210938,285290000
2020-03-11,66.91458892822266,68.85749816894531,70.30500030517578,67.96499633789062,69.34750366210938,255598800
2020-03-12,60.30644989013672,62.057498931884766,67.5,62.0,63.98500061035156,418474000
2020-03-13,67.53166198730469,69.49250030517578,69.9800033569336,63.23749923706055,66.22250366210938,370732000
2020-03-16,58.843910217285156,60.5525016784668,64.7699966430664,60.0,60.48749923706055,322423600
2020-03-17,61.4312858581543,63.21500015258789,64.40249633789062,59.599998474121094,61.877498626708984,324056000
2020-03-18,59.92744064331055,61.66749954223633,62.5,59.279998779296875,59.942501068115234,300233600
2020-03-19,59.46828079223633,61.19499969482422,63.209999084472656,60.65250015258789,61.84749984741211,271857200
2020-03-20,55.69289779663086,57.310001373291016,62.95750045776367,57.0,61.79499816894531,401693200
2020-03-23,54.50975036621094,56.092498779296875,57.125,53.15250015258789,57.02000045776367,336752800
2020-03-24,59.97847366333008,61.720001220703125,61.92250061035156,58.57500076293945,59.09000015258789,287531200
2020-03-25,59.648067474365234,61.380001068115234,64.5625,61.07500076293945,62.6875,303602000
2020-03-26,62.78692626953125,64.61000061035156,64.66999816894531,61.59000015258789,61.630001068115234,252087200
2020-03-27,60.187408447265625,61.935001373291016,63.967498779296875,61.76250076293945,63.1875,204216800
2020-03-30,61.905033111572266,63.70249938964844,63.880001068115234,62.349998474121094,62.685001373291016,167976400
2020-03-31,61.77870178222656,63.5724983215332,65.62249755859375,63.0,63.900001525878906,197002000
2020-04-01,58.52808380126953,60.227500915527344,62.18000030517578,59.782501220703125,61.625,176218400
2020-04-02,59.504722595214844,61.23249816894531,61.287498474121094,59.224998474121094,60.084999084472656,165934000
2020-04-03,58.64955520629883,60.352500915527344,61.42499923706055,59.74250030517578,60.70000076293945,129880000
2020-04-06,63.7660026550293,65.61750030517578,65.77749633789062,62.345001220703125,62.724998474121094,201820400
2020-04-07,63.027427673339844,64.85749816894531,67.92500305175781,64.75,67.69999694824219,202887200
2020-04-08,64.6406021118164,66.51750183105469,66.84249877929688,65.30750274658203,65.68499755859375,168895200
2020-04-09,65.1070556640625,66.99749755859375,67.51750183105469,66.17500305175781,67.17500305175781,161834800
2020-04-13,66.38494110107422,68.3125,68.42500305175781,66.4574966430664,67.07749938964844,131022800
2020-04-14,69.73760223388672,71.76249694824219,72.0625,69.51249694824219,70.0,194994800
